produto,classificao_produto,id_produto,nom_municipio,cod_ibge,uf,regiao,ano,mes,data_inicial_final_semana,semana,dsc_nivel_comercializacao,valor_produto_kg,data_inicial,data_final
10-35-06                 ,NÃO INFORMADO       ,13416,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,07-07-2025 - 11-07-2025,2,PREÇO PAGO PELO PROD,4.43,2025-07-07,2025-07-11
10-35-06                 ,NÃO INFORMADO       ,13416,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,21-07-2025 - 25-07-2025,4,PREÇO PAGO PELO PROD,4.43,2025-07-21,2025-07-25
10-35-06                 ,NÃO INFORMADO       ,13416,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,30-06-2025 - 04-07-2025,1,PREÇO PAGO PELO PROD,4.43,2025-06-30,2025-07-04
10-35-06                 ,NÃO INFORMADO       ,13416,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,28-07-2025 - 01-08-2025,5,PREÇO PAGO PELO PROD,4.43,2025-07-28,2025-08-01
10-35-06                 ,NÃO INFORMADO       ,13416,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,14-07-2025 - 18-07-2025,3,PREÇO PAGO PELO PROD,4.43,2025-07-14,2025-07-18
10-35-06                 ,NÃO INFORMADO       ,13416,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,11,17-11-2025 - 21-11-2025,3,PREÇO PAGO PELO PROD,4.48,2025-11-17,2025-11-21
10-35-06                 ,NÃO INFORMADO       ,13416,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,11,10-11-2025 - 14-11-2025,2,PREÇO PAGO PELO PROD,4.48,2025-11-10,2025-11-14
10-35-06                 ,NÃO INFORMADO       ,13416,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,11,03-11-2025 - 07-11-2025,1,PREÇO PAGO PELO PROD,4.48,2025-11-03,2025-11-07
10-35-06                 ,NÃO INFORMADO       ,13416,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,11,24-11-2025 - 28-11-2025,4,PREÇO PAGO PELO PROD,4.48,2025-11-24,2025-11-28
ABACUS HC                ,260G/L + 160G/L PIRA,10466,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,21-07-2025 - 25-07-2025,4,PREÇO PAGO PELO PROD,242.0,2025-07-21,2025-07-25
